o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
2,A2,18,D3,0.9072425347556103,14.329165797725969,"LINESTRING (-122.4318393 37.7744554,-122.4278576 37.7659377)"
2,A2,19,D4,1.1304143768262684,15.295547979630797,"LINESTRING (-122.4318393 37.7744554,-122.423907 37.765834)"
2,A2,20,D5,1.4439011049639865,16.088216337916293,"LINESTRING (-122.4318393 37.7744554,-122.4196549 37.7657682)"
2,A2,21,E1,1.1884061864473288,12.576698149177957,"LINESTRING (-122.4318393 37.7744554,-122.4361629 37.7629229)"
2,A2,22,E2,1.118883457799636,13.67472393212066,"LINESTRING (-122.4318393 37.7744554,-122.4320539 37.7628616)"
2,A2,23,E3,1.1772134819720546,13.58601838758127,"LINESTRING (-122.4318393 37.7744554,-122.4278735 37.7629176)"
2,A2,24,E4,1.3515277248616682,14.011079912863545,"LINESTRING (-122.4318393 37.7744554,-122.4239863 37.762857)"
2,A2,25,E5,1.6041491975059465,17.27991195112094,"LINESTRING (-122.4318393 37.7744554,-122.4199192 37.7628665)"
2,A2,26,Gate1,1.386843740651438,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.76287)"
2,A2,27,Gate2,1.1716624530830042,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.76579)"
2,A2,28,Gate3,0.990463161125781,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.76871)"
2,A2,29,Gate4,0.8648749445616642,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.77163)"
2,A2,30,Gate5,0.8208331697217273,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4403457 37.77455)"
2,A2,31,Gate6,0.5105654075799564,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4361857 37.7774733)"
2,A2,32,Gate7,0.2917491028388031,0.0,"LINESTRING (-122.4318393 37.7744554,-122.4320257 37.7774733)"
2,A2,33,Gate8,0.4814554949756452,21.247914432136152,"LINESTRING (-122.4318393 37.7744554,-122.4278657 37.7774733)"
