name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,3396,,,,0.0,,poi,0.0,-122.43455475295288,37.77020944069036,,2748.0,,6,1.428478549184,1.428478549184,poi
,3397,,,,0.0,,poi,0.0,-122.43457108525637,37.770281521752274,,2749.0,,6,1.2588931408319999,1.2588931408319999,poi
,3398,,,,0.0,,poi,0.0,-122.43451751452841,37.770003028361344,,2750.0,,11,1.434667797664,1.434667797664,poi
,3399,,,,0.0,,poi,0.0,-122.43454802513156,37.77013832262869,,2751.0,,11,1.378964561344,1.378964561344,poi
,3400,,,,0.0,,poi,0.0,-122.43470842889269,37.770421346576704,,2752.0,,6,1.2811744353599996,1.2811744353599996,poi
,3401,,,,0.0,,poi,0.0,-122.4345015950843,37.76993959505997,,2753.0,,11,1.3356398219839998,1.3356398219839998,poi
,3402,,,,0.0,,poi,0.0,-122.4347946442117,37.77040813042749,,2754.0,,6,1.8035470070719999,1.8035470070719999,poi
,3403,,,,0.0,,poi,0.0,-122.43451666353799,37.7704362819035,,2755.0,,6,3.0141640097600004,3.0141640097600004,poi
,3404,,,,0.0,,poi,0.0,-122.43444628082727,37.76980475633623,,2756.0,,11,1.647577945376,1.647577945376,poi
,3405,,,,0.0,,poi,0.0,-122.43462710789363,37.77043914410466,,2757.0,,6,1.378964561344,1.378964561344,poi
,3406,,,,0.0,,poi,0.0,-122.43372131301308,37.770307393585995,,2758.0,,7,1.507700929728,1.507700929728,poi
,3407,,,,0.0,,poi,0.0,-122.43370311407106,37.77023510290172,,2759.0,,7,1.357921116512,1.357921116512,poi
,3408,,,,0.0,,poi,0.0,-122.4341001512804,37.77016654846588,,2760.0,,12,1.388867358912,1.388867358912,poi
,3409,,,,0.0,,poi,0.0,-122.4341335766466,37.770235308916405,,2761.0,,6,1.2910772329279998,1.2910772329279998,poi
,3410,,,,0.0,,poi,0.0,-122.43406955179591,37.769901393761714,,2762.0,,12,1.4594247915840002,1.4594247915840002,poi
