o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
2,A2,38,Gate13,1.6811193481863735,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7687133)"
2,A2,39,Gate14,1.7938111563862567,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7657933)"
2,A2,40,Gate15,1.9411650350511445,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7628733)"
2,A2,41,Gate16,1.8344128097680958,"LINESTRING (-122.4318393 37.7744554,-122.41955 37.75995)"
2,A2,42,Gate17,1.604443481685796,"LINESTRING (-122.4318393 37.7744554,-122.42371 37.75995)"
2,A2,43,Gate18,1.4510853752471078,"LINESTRING (-122.4318393 37.7744554,-122.42787 37.75995)"
2,A2,44,Gate19,1.3997499768283184,"LINESTRING (-122.4318393 37.7744554,-122.43203 37.75995)"
2,A2,45,Gate20,1.4612298176709078,"LINESTRING (-122.4318393 37.7744554,-122.43619 37.75995)"
3,A3,1,A1,0.8260778270513263,"LINESTRING (-122.4277211 37.774663,-122.4362773 37.774367)"
3,A3,2,A2,0.3978688388084783,"LINESTRING (-122.4277211 37.774663,-122.4318393 37.7744554)"
3,A3,3,A3,0.0,"LINESTRING (-122.4277211 37.774663,-122.4277211 37.774663)"
3,A3,4,A4,0.36663094245479944,"LINESTRING (-122.4277211 37.774663,-122.4239365 37.7743245)"
3,A3,5,A5,0.7245272585730195,"LINESTRING (-122.4277211 37.774663,-122.4202144 37.7744831)"
3,A3,6,B1,0.8614940194896278,"LINESTRING (-122.4277211 37.774663,-122.4361199 37.7716339)"
3,A3,7,B2,0.512594757818218,"LINESTRING (-122.4277211 37.774663,-122.4319651 37.7714677)"
3,A3,8,B3,0.3057259063165808,"LINESTRING (-122.4277211 37.774663,-122.4283861 37.7715651)"
3,A3,9,B4,0.48197278480653666,"LINESTRING (-122.4277211 37.774663,-122.4239069 37.7714378)"
3,A3,10,B5,0.7776116043150813,"LINESTRING (-122.4277211 37.774663,-122.4201831 37.7718125)"
3,A3,11,C1,1.038350865514759,"LINESTRING (-122.4277211 37.774663,-122.4367054 37.7687396)"
3,A3,12,C2,0.707730896401383,"LINESTRING (-122.4277211 37.774663,-122.4318836 37.7686237)"
3,A3,13,C3,0.6052635187387609,"LINESTRING (-122.4277211 37.774663,-122.4278975 37.7683927)"
3,A3,14,C4,0.6736805117733206,"LINESTRING (-122.4277211 37.774663,-122.4240656 37.7687146)"
3,A3,15,C5,0.9880764407058541,"LINESTRING (-122.4277211 37.774663,-122.4195889 37.7684398)"
3,A3,16,D1,1.1629085125453413,"LINESTRING (-122.4277211 37.774663,-122.4358691 37.7657825)"
3,A3,17,D2,0.9600539992176548,"LINESTRING (-122.4277211 37.774663,-122.4322351 37.7657961)"
3,A3,18,D3,0.8420081426445201,"LINESTRING (-122.4277211 37.774663,-122.4278576 37.7659377)"
3,A3,19,D4,0.9280009279718686,"LINESTRING (-122.4277211 37.774663,-122.423907 37.765834)"
3,A3,20,D5,1.1586122900020461,"LINESTRING (-122.4277211 37.774663,-122.4196549 37.7657682)"
3,A3,21,E1,1.3952518621348584,"LINESTRING (-122.4277211 37.774663,-122.4361629 37.7629229)"
3,A3,22,E2,1.2130394535484672,"LINESTRING (-122.4277211 37.774663,-122.4320539 37.7628616)"
3,A3,23,E3,1.1334084923050762,"LINESTRING (-122.4277211 37.774663,-122.4278735 37.7629176)"
3,A3,24,E4,1.1948048728480989,"LINESTRING (-122.4277211 37.774663,-122.4239863 37.762857)"
3,A3,25,E5,1.3646658831228387,"LINESTRING (-122.4277211 37.774663,-122.4199192 37.7628665)"
3,A3,26,Gate1,1.6669471087966434,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.76287)"
3,A3,27,Gate2,1.4889204577331618,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.76579)"
3,A3,28,Gate3,1.3467823216799282,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.76871)"
3,A3,29,Gate4,1.2528081022739574,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.77163)"
3,A3,30,Gate5,1.21819566854369,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.77455)"
3,A3,31,Gate6,0.8605864908286329,"LINESTRING (-122.4277211 37.774663,-122.4361857 37.7774733)"
3,A3,32,Gate7,0.4960309686486642,"LINESTRING (-122.4277211 37.774663,-122.4320257 37.7774733)"
3,A3,33,Gate8,0.27152474393237275,"LINESTRING (-122.4277211 37.774663,-122.4278657 37.7774733)"
3,A3,34,Gate9,0.47291225647197127,"LINESTRING (-122.4277211 37.774663,-122.4237057 37.7774733)"
3,A3,35,Gate10,0.8341508671206284,"LINESTRING (-122.4277211 37.774663,-122.4195457 37.7774733)"
3,A3,36,Gate11,1.1898756983603729,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7745533)"
3,A3,37,Gate12,1.2252151661339,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7716333)"
3,A3,38,Gate13,1.3210856352641527,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7687133)"
3,A3,39,Gate14,1.465656622364216,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7657933)"
3,A3,40,Gate15,1.6461465427655388,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7628733)"
3,A3,41,Gate16,1.6238992041253182,"LINESTRING (-122.4277211 37.774663,-122.41955 37.75995)"
3,A3,42,Gate17,1.4714686691770806,"LINESTRING (-122.4277211 37.774663,-122.42371 37.75995)"
3,A3,43,Gate18,1.4197298386058375,"LINESTRING (-122.4277211 37.774663,-122.42787 37.75995)"
3,A3,44,Gate19,1.479285954753429,"LINESTRING (-122.4277211 37.774663,-122.43203 37.75995)"
3,A3,45,Gate20,1.6380422486237736,"LINESTRING (-122.4277211 37.774663,-122.43619 37.75995)"
4,A4,1,A1,1.1907644064139704,"LINESTRING (-122.4239365 37.7743245,-122.4362773 37.774367)"
4,A4,2,A2,0.7626423416088538,"LINESTRING (-122.4239365 37.7743245,-122.4318393 37.7744554)"
